StockCode,Description,SETS,Colors,Material,Design,Jewelry,Household,MISC,TotalSales,Quantity,UnitPrice,Price_Category,Sales_Frequency
16012,FOOD/DRINK SPONGE STICKERS,0,0,0,0,0,0,1,261.24,1244,0.21,cheap,reg_seller
16014,SMALL CHINESE STYLE SCISSOR,0,0,0,0,0,0,1,4335.76,13328,0.4,cheap,best_seller
16015,MEDIUM CHINESE STYLE SCISSOR,0,0,0,0,0,0,1,289.98,1062,0.47,cheap,reg_seller
16016,LARGE CHINESE STYLE SCISSOR,0,0,0,0,0,0,1,1053.45,1273,0.85,cheap,reg_seller
16020C,CLEAR STATIONERY BOX SET ,1,0,0,0,0,0,0,69.89999999999999,84,0.83,cheap,cold
16033,MINI HIGHLIGHTER PENS,0,0,0,0,0,0,1,100.79999999999998,960,0.1,cheap,warm
16043,POP ART PUSH DOWN RUBBER ,0,0,0,0,0,0,1,11.759999999999998,98,0.12,cheap,cold
16045,POPART WOODEN PENCILS ASST,0,0,1,0,0,0,0,380.0,8900,0.04,cheap,hot
16046,TEATIME PEN CASE & PENS,0,0,0,0,0,0,1,57.8,89,0.8,cheap,cold
16048,TEATIME ROUND PENCIL SHARPENER ,0,0,0,0,0,0,1,205.42,1461,0.33,cheap,reg_seller
16049,TEATIME GEL PENS ASST,0,0,0,0,0,0,1,82.08,578,0.2,cheap,warm
16052,TEATIME PUSH DOWN RUBBER,0,0,0,0,0,0,1,115.3,479,0.59,cheap,warm
16054,POPART RECT PENCIL SHARPENER ASST,0,0,0,0,0,0,1,140.52,1166,0.13,cheap,reg_seller
16156L,WRAP CAROUSEL,0,0,0,0,0,0,1,199.5,475,0.42,cheap,warm
16156L,"WRAP, CAROUSEL",0,0,0,0,0,0,1,199.5,475,0.42,cheap,warm
16156S,WRAP PINK FAIRY CAKES ,0,1,0,1,0,0,0,2331.0,5800,0.42,cheap,hot
16161G,WRAP BAD HAIR DAY,0,0,0,0,0,0,1,70.0,700,0.1,cheap,warm
16161M,WRAP  PINK FLOCK,0,1,0,0,0,0,0,10.5,25,0.42,cheap,cold
16161P,WRAP ENGLISH ROSE ,0,0,0,0,0,0,1,2990.92,7226,0.42,cheap,hot
16161U,WRAP SUKI AND FRIENDS,0,0,0,0,0,0,1,1687.5,4075,0.42,cheap,reg_seller
16162L,THE KING GIFT BAG,0,0,0,0,0,1,0,13.0,50,0.58,cheap,cold
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0,0,0,0,0,1,0,173.12,415,0.62,cheap,warm
16169E,WRAP 50'S  CHRISTMAS,0,0,0,1,0,0,0,1892.46,4563,0.42,cheap,reg_seller
16169K,WRAP FOLK ART,0,0,0,0,0,0,1,84.0,200,0.42,cheap,warm
16169M,WRAP DAISY CARPET ,0,0,0,1,0,0,0,277.2,660,0.42,cheap,warm
16169N,WRAP BLUE RUSSIAN FOLKART,0,1,0,0,0,0,0,10.5,25,0.42,cheap,cold
16169P,WRAP GREEN RUSSIAN FOLKART ,0,1,0,0,0,0,0,21.0,50,0.42,cheap,cold
16202A,PASTEL PINK PHOTO ALBUM ,0,1,0,0,0,0,0,3.5,7,0.5,cheap,cold
16202B,PASTEL BLUE PHOTO ALBUM ,0,1,0,0,0,0,0,14.5,29,0.5,cheap,cold
16202E,BLACK PHOTO ALBUM ,0,1,0,0,0,0,0,7.5,15,0.5,cheap,cold
16206B,RED PURSE WITH PINK HEART,0,1,0,1,0,0,0,8.75,7,1.25,cheap,cold
16207A,PINK STRAWBERRY HANDBAG ,0,1,0,1,0,0,0,163.1,63,2.6,cheap,cold
16207B,PINK HEART RED HANDBAG,0,1,0,1,0,0,0,76.14,33,2.56,cheap,cold
16216,LETTER SHAPE PENCIL SHARPENER,0,0,0,0,0,0,1,234.0,3333,0.15,cheap,reg_seller
16218,CARTOON  PENCIL SHARPENERS,0,0,0,0,0,0,1,283.31,3821,0.27,cheap,reg_seller
16219,HOUSE SHAPE PENCIL SHARPENER,0,0,0,0,0,0,1,407.72,3048,0.52,cheap,reg_seller
16225,RATTLE SNAKE EGGS,0,0,0,0,0,0,1,691.85,815,1.46,cheap,warm
16235,RECYCLED PENCIL WITH RABBIT ERASER,0,0,0,0,0,0,1,702.96,3104,0.32,cheap,reg_seller
16236,KITTY PENCIL ERASERS,0,0,0,1,0,0,0,320.09,1438,0.3,cheap,reg_seller
16237,SLEEPING CAT ERASERS,0,0,0,1,0,0,0,1048.56,4994,0.3,cheap,reg_seller
16238,PARTY TIME PENCIL ERASERS,0,0,0,0,0,0,1,322.09,1398,0.31,cheap,reg_seller
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,0,1,0,0,0,0,0,7.85,7,1.23,cheap,cold
16248B,BLUE HOLE PUNCH,0,1,0,0,0,0,0,16.25,15,1.09,cheap,cold
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,0,0,0,0,0,0,1,42.58,40,1.31,cheap,cold
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0,0,0,0,0,0,1,178.97,472,0.59,cheap,warm
16259,PIECE OF CAMO STATIONERY SET,1,0,0,0,0,0,0,326.56,3380,0.1,cheap,reg_seller
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0,0,0,0,0,0,1,20.88,72,0.29,cheap,cold
17003,BROCADE RING PURSE ,0,0,0,0,1,0,0,6036.39,23056,0.36,cheap,best_seller
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,0,1,0,0,0,1,0,50.400000000000006,24,2.1,cheap,cold
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0,0,1,1,0,0,0,66.36000000000001,81,1.57,cheap,cold
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,1,0,0,0,0,1,0,375.93,323,1.95,cheap,warm
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,1,0,0,0,0,1,0,595.85,525,1.88,cheap,warm
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,1,0,0,0,0,0,0,484.35,421,1.78,cheap,warm
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,1,0,0,0,0,1,0,550.64,463,1.82,cheap,warm
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,1,0,0,0,0,1,0,74.64,68,2.15,cheap,cold
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,0,1,0,0,0,0,530.6,462,1.78,cheap,warm
17013D,ORIGAMI ROSE INCENSE IN TUBE,0,0,0,0,0,0,1,267.82,535,1.25,cheap,warm
17014A,ORIGAMI VANILLA INCENSE CONES,0,0,0,0,0,0,1,71.19,166,0.85,cheap,warm
17021,NAMASTE SWAGAT INCENSE,0,0,0,0,0,0,1,643.14,2427,0.29,cheap,reg_seller
17028J,INCENSE BAZAAR PEACH,0,0,0,0,0,0,1,2.52,6,0.42,cheap,cold
17038,PORCELAIN BUDAH INCENSE HOLDER,0,0,0,0,0,0,1,158.06,1525,0.42,cheap,reg_seller
17084A,TRANQUILITY MASALA INCENSE,0,0,0,0,0,0,1,42.0,200,0.21,cheap,warm
17084J,LOVE POTION MASALA INCENSE,0,0,0,0,0,1,0,47.25,225,0.21,cheap,warm
17084N,FAIRY DREAMS INCENSE ,0,0,0,1,0,0,0,313.31,1264,0.35,cheap,reg_seller
17084P,DRAGONS BLOOD INCENSE,0,0,0,0,0,0,1,104.44,423,0.35,cheap,warm
17084R,ASSORTED INCENSE PACK,1,0,0,0,0,0,0,760.3199999999999,4032,0.2,cheap,reg_seller
17090A,LAVENDER INCENSE 40 CONES IN TIN,0,0,0,0,0,0,1,107.45,109,1.17,cheap,warm
17090D,VANILLA INCENSE 40 CONES IN TIN,0,0,0,0,0,0,1,36.25,29,1.25,cheap,cold
17091A,LAVENDER INCENSE IN TIN,0,0,0,0,0,0,1,99.29,340,0.73,cheap,warm
17091J,VANILLA INCENSE IN TIN,0,0,0,0,0,0,1,920.67,2084,0.7,cheap,reg_seller
17096,ASSORTED LAQUERED INCENSE HOLDERS,1,1,0,0,0,0,0,455.9800000000001,2545,0.3,cheap,reg_seller
17107D,FLOWER FAIRY 5 DRAWER LINERS,0,0,0,1,0,0,0,436.05,171,2.55,cheap,warm
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,0,0,0,1,0,0,0,436.05,171,2.55,cheap,warm
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",0,0,0,1,0,0,0,436.05,171,2.55,cheap,warm
17109D,FLOWER FAIRY INCENSE BOUQUET,0,0,0,1,0,0,0,32.349999999999994,75,0.75,cheap,cold
17129F,BLUE GLASS GEMS IN BAG,0,1,1,0,0,0,0,553.8299999999999,588,1.37,cheap,warm
17136A,BLUE STONES ON WIRE FOR CANDLE,0,1,0,0,0,1,0,33.75,407,0.09,cheap,warm
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0,0,0,0,0,0,1,12.18,29,0.42,cheap,cold
17165D,ASS COL LARGE SAND FROG P'WEIGHT,0,0,0,0,0,0,1,28.35,36,0.92,cheap,cold
17174,ASSTD RASTA KEY-CHAINS,0,0,0,0,0,0,1,3.78,9,0.42,cheap,cold
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,0,0,0,1,0,1,0,15.0,4,3.75,cheap,cold
18094C,WHITE AND BLUE CERAMIC OIL BURNER,0,1,0,0,0,0,0,283.93,192,1.96,cheap,warm
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,0,1,0,0,0,0,0,12.75,5,2.55,cheap,cold
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,0,1,0,0,0,0,0,1601.21,699,3.08,cheap,warm
18098C,PORCELAIN BUTTERFLY OIL BURNER,0,0,0,1,0,0,0,658.75,231,3.48,cheap,warm
20615,BLUE POLKADOT PASSPORT COVER,0,1,0,1,0,0,0,466.99,313,2.51,cheap,warm
20616,CHERRY BLOSSOM PASSPORT COVER,0,0,0,1,0,0,0,243.53,194,1.81,cheap,warm
20617,FIRST CLASS PASSPORT COVER ,0,0,0,0,0,0,1,194.94,93,2.25,cheap,cold
20618,QUEEN OF THE SKIES PASSPORT COVER ,0,0,0,0,0,0,1,286.39,148,2.03,cheap,warm
20619,TROPICAL PASSPORT COVER ,0,0,0,1,0,0,0,439.65,262,2.14,cheap,warm
20622,VIP PASSPORT COVER ,0,0,0,0,0,0,1,305.8,186,2.4,cheap,warm
20622,VIPPASSPORT COVER ,0,0,0,0,0,0,1,305.8,186,2.4,cheap,warm
20652,BLUE POLKADOT LUGGAGE TAG ,0,1,0,1,0,1,0,350.61,272,1.53,cheap,warm
20653,CHERRY BLOSSOM LUGGAGE TAG,0,0,0,1,0,1,0,95.18,73,1.48,cheap,cold
20654,FIRST CLASS LUGGAGE TAG ,0,0,0,0,0,1,0,193.59,152,1.38,cheap,warm
20655,QUEEN OF SKIES LUGGAGE TAG,0,0,0,0,0,1,0,292.29,197,1.72,cheap,warm
20657,TROPICAL LUGGAGE TAG,0,0,0,1,0,1,0,105.91,73,1.72,cheap,cold
20658,RED RETROSPOT LUGGAGE TAG,0,1,0,1,0,1,0,653.36,434,1.75,cheap,warm
20659,ECONOMY LUGGAGE TAG,0,0,0,0,0,1,0,248.09,159,1.63,cheap,warm
20661,BLUE POLKADOT PURSE ,0,1,0,1,0,0,0,141.15,44,3.4,cheap,cold
20662,FIRST CLASS HOLIDAY PURSE ,0,0,0,1,0,0,0,90.42,31,2.88,cheap,cold
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,0,0,0,1,0,0,0,66.26,25,2.69,cheap,cold
20664,TROPICAL HOLIDAY PURSE ,0,0,0,1,0,0,0,81.66,41,2.41,cheap,cold
20665,RED RETROSPOT PURSE ,0,1,0,1,0,1,0,1546.2700000000002,482,4.04,cheap,warm
20666,ECONOMY HOLIDAY PURSE,0,0,0,1,0,0,0,41.53,30,1.71,cheap,cold
20667,CHERRY BLOSSOM PURSE,0,0,0,1,0,0,0,49.69,20,2.49,cheap,cold
20668,DISCO BALL CHRISTMAS DECORATION,0,0,0,1,0,0,0,1512.92,12979,0.16,cheap,best_seller
20669,RED HEART LUGGAGE TAG,0,1,0,1,0,1,0,447.34,304,1.69,cheap,warm
20670,VIP HOLIDAY PURSE,0,0,0,1,0,0,0,44.04,14,3.24,cheap,cold
20671,BLUE TEATIME PRINT BOWL ,0,1,0,0,0,0,0,12.5,10,1.25,cheap,cold
20674,GREEN POLKADOT BOWL,0,1,0,1,0,0,0,2032.48,1576,1.56,cheap,reg_seller
20675,BLUE POLKADOT BOWL,0,1,0,1,0,0,0,3984.37,3121,1.59,cheap,reg_seller
20676,RED RETROSPOT BOWL,0,1,0,1,0,1,0,6441.06,5076,1.63,cheap,hot
20677,PINK POLKADOT BOWL,0,1,0,1,0,0,0,4749.84,3676,1.65,cheap,reg_seller
20678,LARGE BLACK DIAMANTE HAIRSLIDE,0,1,0,0,0,0,0,6.6,4,1.65,cheap,cold
20679,EDWARDIAN PARASOL RED,0,1,0,0,0,0,0,10021.42,1710,7.0,medium,reg_seller
20681,PINK POLKADOT CHILDRENS UMBRELLA,0,1,0,1,0,1,0,506.96,140,4.21,cheap,warm
20682,RED RETROSPOT CHILDRENS UMBRELLA,0,1,0,1,0,1,0,4190.83,1245,3.97,cheap,reg_seller
20684,STRAWBERRY DREAM CHILDS UMBRELLA,0,0,0,1,0,1,0,273.81,82,3.45,cheap,cold
20685,DOORMAT RED RETROSPOT,0,1,0,1,0,1,0,28082.54,4093,8.94,medium,reg_seller
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,0,0,0,0,0,1,0,932.42,270,3.86,cheap,warm
20694,FLORAL PINK MONSTER,0,1,0,0,0,0,0,187.54,43,5.08,medium,cold
20695,FLORAL BLUE MONSTER,0,1,0,0,0,0,0,21.25,5,4.25,cheap,cold
20696,FLORAL SOFT CAR TOY,0,0,0,0,0,0,1,230.81,54,4.72,cheap,cold
20697,LITTLE GREEN MONSTER SOFT TOY,0,1,0,0,0,0,0,53.55,21,2.55,cheap,cold
20698,LITTLE PINK MONSTER SOFT TOY,0,1,0,0,0,0,0,43.35,17,2.55,cheap,cold
20699,MOUSEY LONG LEGS SOFT TOY,0,0,0,0,0,0,1,266.03,97,3.0,cheap,cold
20700,GREEN CAT FLORAL CUSHION COVER ,0,1,0,1,0,1,0,345.17,73,4.98,cheap,cold
20701,PINK CAT FLORAL CUSHION COVER ,0,1,0,1,0,1,0,100.97,25,4.07,cheap,cold
20702,PINK PADDED MOBILE,0,1,0,0,0,0,0,577.79,146,4.25,cheap,warm
20703,BLUE PADDED SOFT MOBILE,0,1,0,0,0,0,0,4.25,1,4.25,cheap,cold
20704,MR ROBOT SOFT TOY,0,0,0,0,0,0,1,697.7,216,5.85,medium,warm
20705,MRS ROBOT SOFT TOY,0,0,0,0,0,0,1,428.85,143,4.81,cheap,warm
20707,CRAZY DAISY HEART DECORATION,0,0,0,1,0,0,0,468.39,464,1.09,cheap,warm
20711,JUMBO BAG TOYS ,0,0,0,0,0,0,1,11014.62,5008,3.12,cheap,hot
20712,JUMBO BAG WOODLAND ANIMALS,0,0,1,1,0,0,0,22092.42,9773,2.93,cheap,hot
20713,JUMBO BAG OWLS,0,0,0,0,0,0,1,23030.96,13324,2.74,cheap,best_seller
20716,PARTY FOOD SHOPPER BAG,0,0,0,0,0,0,1,469.63,404,1.3,cheap,warm
20717,STRAWBERRY SHOPPER BAG,0,0,0,1,0,0,0,3564.48,2857,1.67,cheap,reg_seller
20718,RED RETROSPOT SHOPPER BAG,0,1,0,1,0,1,0,6613.04,4776,1.78,cheap,reg_seller
20719,WOODLAND CHARLOTTE BAG,0,0,1,0,0,0,0,16759.75,13310,1.2,cheap,best_seller
20723,STRAWBERRY CHARLOTTE BAG,0,0,0,1,0,0,0,12552.4,9798,1.2,cheap,hot
20724,RED RETROSPOT CHARLOTTE BAG,0,1,0,1,0,1,0,21776.79,17771,1.14,cheap,best_seller
20725,LUNCH BAG RED RETROSPOT,0,1,0,1,0,1,0,36042.01,19553,2.13,cheap,best_seller
20725,LUNCH BAG RED SPOTTY,0,1,0,0,0,1,0,36042.01,19553,2.13,cheap,best_seller
20726,LUNCH BAG WOODLAND,0,0,1,0,0,0,0,18323.38,9934,2.17,cheap,hot
20727,LUNCH BAG  BLACK SKULL.,0,1,0,1,0,0,0,22421.21,12240,2.1,cheap,best_seller
20728,LUNCH BAG CARS BLUE,0,1,0,0,0,0,0,21750.63,11817,2.06,cheap,best_seller
20731,POSY CANDY BAG,0,0,0,0,0,0,1,109.96,103,0.97,cheap,warm
20733,GOLD MINI TAPE MEASURE ,0,0,0,0,0,0,1,958.06,1236,0.85,cheap,reg_seller
20734,SILVER MINI TAPE MEASURE ,0,0,0,0,0,0,1,271.22,160,1.73,cheap,warm
20735,BLACK MINI TAPE MEASURE ,0,1,0,0,0,0,0,625.8,624,1.11,cheap,warm
20748,KENSINGTON COFFEE SET,1,0,0,0,0,0,0,751.17,109,12.72,medium,warm
20749,ASSORTED COLOUR MINI CASES,1,0,0,0,0,0,0,12614.17,1770,8.06,medium,reg_seller
20750,RED RETROSPOT MINI CASES,0,1,0,1,0,1,0,12642.93,1748,8.12,medium,reg_seller
20751,FUNKY WASHING UP GLOVES ASSORTED,1,0,0,0,0,0,0,2108.7200000000003,1003,2.34,cheap,reg_seller
20752,BLUE POLKADOT WASHING UP GLOVES,0,1,0,1,0,0,0,935.15,414,2.41,cheap,warm
20754,RETROSPOT RED WASHING UP GLOVES,0,1,0,1,0,1,0,3090.96,1515,2.5,cheap,reg_seller
20755,BLUE PAISLEY POCKET BOOK,0,1,0,0,0,0,0,272.02,307,0.99,cheap,warm
20756,GREEN FERN POCKET BOOK,0,1,0,0,0,0,0,53.55,63,0.85,cheap,cold
20757,RED DAISY POCKET BOOK ,0,1,0,1,0,0,0,144.29,167,0.91,cheap,warm
20758,ABSTRACT CIRCLES POCKET BOOK,0,0,0,0,0,0,1,137.7,162,0.85,cheap,warm
20759,CHRYSANTHEMUM POCKET BOOK ,0,0,0,0,0,0,1,54.4,64,0.85,cheap,cold
20760,GARDEN PATH POCKET BOOK,0,0,0,0,0,1,0,58.65,100,0.81,cheap,warm
20761,BLUE PAISLEY SKETCHBOOK,0,1,0,0,0,0,0,517.22,123,4.43,cheap,warm
20762,GREEN FERN SKETCHBOOK ,0,1,0,0,0,0,0,420.08,106,4.15,cheap,warm
20763,DAISY SKETCHBOOK ,0,0,0,1,0,0,0,205.04,73,3.98,cheap,cold
20764,ABSTRACT CIRCLES SKETCHBOOK ,0,0,0,0,0,0,1,610.8100000000001,144,4.66,cheap,warm
20765,CHRYSANTHEMUM SKETCHBOOK ,0,0,0,0,0,0,1,423.55,104,4.24,cheap,warm
20766,GARDEN PATH SKETCHBOOK,0,0,0,0,0,1,0,501.07,124,4.43,cheap,warm
20767,BLUE PAISLEY JOURNAL ,0,1,0,0,0,0,0,663.7099999999999,253,2.86,cheap,warm
20768,GREEN FERN JOURNAL ,0,1,0,0,0,0,0,441.12,177,2.65,cheap,warm
20769,DAISY JOURNAL ,0,0,0,1,0,0,0,217.56,80,2.75,cheap,cold
20770,ABSTRACT CIRCLE JOURNAL ,0,0,0,0,0,0,1,449.8,185,2.5,cheap,warm
20771,CHRYSANTHEMUM  JOURNAL,0,0,0,0,0,0,1,269.68,103,2.76,cheap,warm
20772,GARDEN PATH JOURNAL,0,0,0,0,0,1,0,621.1899999999999,247,2.75,cheap,warm
20773,BLUE PAISLEY NOTEBOOK,0,1,0,0,0,0,0,92.4,56,1.65,cheap,cold
20774,GREEN FERN NOTEBOOK,0,1,0,0,0,0,0,141.23999999999998,98,1.6,cheap,cold
20775,DAISY NOTEBOOK ,0,0,0,1,0,0,0,235.19,135,1.72,cheap,warm
20777,CHRYSANTHEMUM NOTEBOOK,0,0,0,0,0,0,1,282.48999999999995,169,1.7,cheap,warm
20778,GARDEN PATH NOTEBOOK ,0,0,0,0,0,1,0,24.75,17,1.47,cheap,cold
20780,BLACK EAR MUFF HEADPHONES,0,1,0,0,0,0,0,318.19,48,7.62,medium,cold
20781,GOLD EAR MUFF HEADPHONES,0,0,0,0,0,0,1,221.65,38,5.76,medium,cold
20782,CAMOUFLAGE EAR MUFF HEADPHONES,0,0,0,1,0,0,0,373.57,54,7.46,medium,cold
20785,FUSCHIA RETRO BAR STOOL,0,0,0,0,0,0,1,523.3000000000001,14,39.15,high,cold
20793,BLUE TILED TRAY,0,1,0,0,0,0,0,54.0,8,6.75,medium,cold
20794,BLUE  TILE HOOK,0,1,0,0,0,0,0,282.79,99,3.57,cheap,cold
20795,LARGE BLUE PROVENCAL CERAMIC BALL,0,1,0,0,0,0,0,113.05,49,2.65,cheap,cold
20796,SMALL BLUE PROVENCAL CERAMIC BALL,0,1,0,0,0,0,0,103.93999999999998,62,1.83,cheap,cold
20798,CLEAR MILKSHAKE GLASS,0,0,1,0,0,0,0,75.60000000000001,41,1.75,cheap,cold
20801,LARGE PINK GLASS SUNDAE DISH,0,1,1,0,0,0,0,1157.8,1019,1.59,cheap,reg_seller
20802,SMALL GLASS SUNDAE DISH CLEAR,0,0,1,0,0,0,0,984.47,739,1.94,cheap,warm
20803,SMALL PINK GLASS SUNDAE DISH,0,1,1,0,0,0,0,478.72,945,1.13,cheap,warm
20816,GOLD FLOWER CUSHION COVER ,0,0,0,1,0,1,0,15.6,8,1.95,cheap,cold
20818,GOLD TEDDY BEAR,0,0,0,0,0,0,1,42.7,15,5.54,medium,cold
20819,SILVER TEDDY BEAR,0,0,0,0,0,0,1,244.72,64,4.02,cheap,cold
20820,SILVER LOOKING MIRROR,0,0,0,0,0,0,1,24.75,5,4.95,cheap,cold
20821,GOLDIE LOOKING MIRROR,0,0,0,0,0,0,1,84.15,26,4.24,cheap,cold
20823,GOLD WINE GOBLET,0,0,0,0,0,0,1,132.72,168,0.79,cheap,warm
20826,SILVER APERITIF GLASS,0,0,1,0,0,0,0,128.4,276,0.82,cheap,warm
20827,GOLD APERITIF GLASS,0,0,1,0,0,0,0,34.32,88,0.39,cheap,cold
20828,GLITTER BUTTERFLY CLIPS,0,0,0,1,0,0,0,3079.88,1130,3.16,cheap,reg_seller
20829,GLITTER HANGING BUTTERFLY STRING,0,0,0,1,1,0,0,2725.05,1315,2.45,cheap,reg_seller
20830,SILVER PHOTO FRAME,0,0,0,0,0,0,1,409.83,136,3.04,cheap,warm
20831,GOLD PHOTO FRAME,0,0,0,0,0,0,1,466.53,216,2.74,cheap,warm
20832,RED FLOCK LOVE HEART PHOTO FRAME,0,1,0,1,0,0,0,582.03,1201,0.73,cheap,reg_seller
20835,FRENCH LATTICE CUSHION COVER ,0,0,0,1,0,1,0,65.8,67,2.1,cheap,cold
20836,FRENCH PAISLEY CUSHION COVER,0,0,0,1,0,1,0,141.1,170,0.83,cheap,warm
20839,FRENCH PAISLEY CUSHION COVER ,0,0,0,1,0,1,0,840.4399999999999,575,2.39,cheap,warm
20840,FRENCH FLORAL CUSHION COVER ,0,0,0,1,0,1,0,632.3199999999999,533,2.0,cheap,warm
20845,ZINC HEART LATTICE 2 WALL PLANTER,0,0,0,1,0,0,0,120.65,19,6.35,medium,cold
20846,ZINC HEART LATTICE T-LIGHT HOLDER,0,0,0,1,0,0,0,958.57,717,1.61,cheap,warm
20847,ZINC HEART LATTICE CHARGER LARGE,0,0,0,1,0,0,0,217.58,52,4.59,cheap,cold
20848,ZINC HEART LATTICE CHARGER SMALL,0,0,0,1,0,0,0,61.95,21,2.95,cheap,cold
20851,ZINC HEART LATTICE TRAY OVAL ,0,0,0,1,0,0,0,53.55,10,5.21,medium,cold
20854,BLUE PATCH PURSE PINK HEART,0,1,0,1,0,0,0,386.32,244,1.68,cheap,warm
20856,DENIM PATCH PURSE PINK BUTTERFLY,0,1,0,1,0,0,0,357.29,216,1.67,cheap,warm
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,0,1,0,0,0,0,0,52.8,32,1.65,cheap,cold
20860,GOLD COSMETICS BAG WITH BUTTERFLY,0,0,0,1,0,0,0,2.1,1,2.1,cheap,cold
20861,GOLD COSMETIC BAG PINK STAR,0,1,0,1,0,0,0,4.2,2,2.1,cheap,cold
20866,BLUE ROSE FABRIC MIRROR,0,1,0,0,0,0,0,710.95,598,1.49,cheap,warm
20867,PINK ROSE FABRIC MIRROR,0,1,0,0,0,0,0,393.47,331,1.35,cheap,warm
20868,SILVER FABRIC MIRROR,0,0,0,0,0,0,1,219.35,458,0.71,cheap,warm
20869,GOLD FABRIC MIRROR,0,0,0,0,0,0,1,86.76,180,0.72,cheap,warm
20871,OPULENT VELVET SET/3 CANDLES,1,0,0,0,0,1,0,8.42,2,4.21,cheap,cold
